
Image Name                     PID Session Name        Session#    Mem Usage
msedgewebview2.exe           11884 Console                    6      8,868 K
msedgewebview2.exe           23328 Console                    6     56,948 K
msedgewebview2.exe            6976 Console                    6     38,884 K
msedgewebview2.exe           15048 Console                    6     19,796 K
msedgewebview2.exe           33144 Console                    6     85,876 K
ctfmon.exe                    3272 Console                    6     40,168 K
LockApp.exe                   7956 Console                    6     73,212 K
RuntimeBroker.exe            19072 Console                    6     43,032 K
svchost.exe                  28384 Console                    6     16,544 K
PhoneExperienceHost.exe       3612 Console                    6    211,944 K
svchost.exe                  34244 Services                   0      7,196 K
SecurityHealthSystray.exe    26392 Console                    6     12,924 K
RtkAudUService64.exe         28532 Console                    6     12,928 K
dtclientuser.exe              2060 Console                    6     12,808 K
msedge.exe                   26608 Console                    6    131,248 K
msedge.exe                    2556 Console                    6      9,004 K
msedge.exe                   31608 Console                    6     44,740 K
msedge.exe                    6972 Console                    6     39,888 K
msedge.exe                   24828 Console                    6     18,472 K
OneDrive.exe                 18684 Console                    6    136,492 K
steam.exe                    31812 Console                    6     74,352 K
svchost.exe                  11748 Services                   0     11,120 K
TextInputHost.exe             9424 Console                    6    131,188 K
steamwebhelper.exe           36368 Console                    6    147,528 K
steamservice.exe             27156 Services                   0     16,048 K
steamwebhelper.exe           17112 Console                    6     13,280 K
steamwebhelper.exe           14328 Console                    6     55,008 K
steamwebhelper.exe           16292 Console                    6     28,752 K
steamwebhelper.exe           17816 Console                    6     18,744 K
steamwebhelper.exe            3084 Console                    6     97,656 K
chrome.exe                    7548 Console                    6    220,624 K
chrome.exe                   34724 Console                    6      8,792 K
chrome.exe                   15932 Console                    6    125,688 K
chrome.exe                   32612 Console                    6     45,840 K
chrome.exe                   21344 Console                    6     19,588 K
chrome.exe                    9924 Console                    6     53,228 K
XboxPcTray.exe                6904 Console                    6     65,232 K
msedge.exe                   24616 Console                    6     74,116 K
XboxPcAppFT.exe              14820 Console                    6     52,476 K
msedge.exe                   19760 Console                    6     25,300 K
steamwebhelper.exe           27184 Console                    6     63,996 K
ApplicationFrameHost.exe     22944 Console                    6     50,272 K
XboxPcApp.exe                27652 Console                    6    189,332 K
RuntimeBroker.exe             8084 Console                    6     30,372 K
RuntimeBroker.exe            29420 Console                    6     21,268 K
CrossDeviceService.exe       29304 Console                    6    111,396 K
RuntimeBroker.exe            34108 Console                    6     13,528 K
M365Copilot.exe              16488 Console                    6    106,476 K
RuntimeBroker.exe            20040 Console                    6     13,532 K
msedgewebview2.exe           36688 Console                    6     14,048 K
msedgewebview2.exe           20984 Console                    6      9,156 K
msedgewebview2.exe           34512 Console                    6      6,872 K
msedgewebview2.exe            9292 Console                    6      5,072 K
msedgewebview2.exe           19228 Console                    6        148 K
msedgewebview2.exe           21528 Console                    6        868 K
AnalyticsSrv.exe             11968 Console                    6     12,496 K
concentr.exe                 18836 Console                    6     27,140 K
crashpad_handler.exe         26900 Console                    6      8,476 K
Receiver.exe                 28060 Console                    6     41,340 K
SelfServicePlugin.exe        25668 Console                    6     62,716 K
wfcrun32.exe                 20340 Console                    6     30,644 K
crashpad_handler.exe         26388 Console                    6      8,428 K
msedgewebview2.exe           13336 Console                    6      2,516 K
redirector.exe                9608 Console                    6     14,156 K
msedgewebview2.exe           29932 Console                    6      5,412 K
msedgewebview2.exe           17552 Console                    6      9,256 K
msedgewebview2.exe           15064 Console                    6      5,076 K
msedgewebview2.exe           10300 Console                    6      2,004 K
msedgewebview2.exe            3672 Console                    6         16 K
msedgewebview2.exe            5044 Console                    6        216 K
WmiPrvSE.exe                 21964 Services                   0     13,380 K
svchost.exe                  35880 Console                    6     14,856 K
ShellExperienceHost.exe      13748 Console                    6    106,784 K
RuntimeBroker.exe            15228 Console                    6     36,912 K
SystemSettings.exe           20572 Console                    6      2,604 K
svchost.exe                  14072 Console                    6     14,248 K
UserOOBEBroker.exe           25300 Console                    6     11,176 K
AppActions.exe               28044 Console                    6     42,620 K
svchost.exe                  25856 Services                   0     11,016 K
chrome.exe                   16648 Console                    6     65,544 K
chrome.exe                   15552 Console                    6    192,764 K
chrome.exe                    7192 Console                    6     66,728 K
chrome.exe                   25132 Console                    6    157,448 K
chrome.exe                    9524 Console                    6     31,652 K
FileCoAuth.exe               26208 Console                    6     44,680 K
Photos.exe                   33872 Console                    6    188,616 K
Photos.exe                   35432 Console                    6    125,144 K
