--- VAN Worst Discrepancies ---
   game_id home away api_attempts shift_attempts  diff  abs_diff              pct_err status
2025020642  VAN  SEA          102              0   102       102                  1.0     OK
2025020656  VAN  BOS           85              0    85        85                  1.0     OK
2025020464  VAN  DET          104             52    52        52                  0.5     OK
2025020439  VAN  UTA           99             48    51        51   0.5151515151515151     OK
2025020241  VAN  CBJ           96             53    43        43   0.4479166666666667     OK
2025020702  TOR  VAN           83             40    43        43   0.5180722891566265     OK
2025020303  FLA  VAN           88             49    39        39   0.4431818181818182     OK
2025020492  VAN  BUF           97             60    37        37  0.38144329896907214     OK
2025020118  NSH  VAN           89             52    37        37   0.4157303370786517     OK
2025020263  VAN  WPG          104             68    36        36  0.34615384615384615     OK
2025020352  VAN  CGY           78             44    34        34   0.4358974358974359     OK
2025020417  COL  VAN          101             69    32        32  0.31683168316831684     OK
2025020201  NSH  VAN           94             99    -5         5  0.05319148936170213     OK
2025020136  VAN  MTL           99            103    -4         4  0.04040404040404041     OK
2025020068  DAL  VAN           98            102    -4         4  0.04081632653061224     OK
2025020374  ANA  VAN          108            112    -4         4 0.037037037037037035     OK
2025020599  VAN  SJS           91             94    -3         3  0.03296703296703297     OK
2025020172  STL  VAN           88             91    -3         3  0.03409090909090909     OK
2025020089  WSH  VAN           86             89    -3         3  0.03488372093023256     OK
2025020545  NYI  VAN           79             82    -3         3   0.0379746835443038     OK
