season,game_id,event_id,player_name,on_puck_mean_dist_ft,off_puck_mean_dist_ft,rel_on_puck_mean_dist_ft,rel_off_puck_mean_dist_ft,on_puck_frames,off_puck_frames
20242025,2024020123,1086,Matvei Michkov,23.888732335623256,30.90345343718654,-5.133407688668203,3.390305948901805,16,60
20242025,2024020123,115,Matvei Michkov,31.253451742584076,22.98198646417852,4.264050492023401,-6.824687177414699,18,9
20242025,2024020123,963,Matvei Michkov,17.55704583046571,27.688677651904857,-10.429271388729664,-1.0049949291556004,3,47
20242025,2024020123,147,Matvei Michkov,23.737595421421634,25.86380389396668,-7.527143512765029,-2.915797099692238,14,49
20242025,2024020162,328,Noah Cates,,22.90065596999212,,-13.96032022474991,0,72
20242025,2024020225,991,Noah Cates,,21.68209923207537,,,0,5
20242025,2024020240,609,Matvei Michkov,50.110121351306326,42.42419277433305,20.15735606919373,8.76176846348563,20,42
20242025,2024020240,68,Matvei Michkov,,36.48329589556028,,-9.293857699255817,0,61
20242025,2024020258,141,Noah Cates,,27.811187581762265,,,0,10
20242025,2024020258,186,Noah Cates,19.589096448558823,22.803631300349583,-9.712460556900783,-1.7106635391001532,11,40
20242025,2024020278,296,Noah Cates,,19.801014676752317,,-4.114261115259055,0,79
20242025,2024020278,501,Noah Cates,,28.93127305690537,,-4.887852012048619,0,55
20242025,2024020278,501,Matvei Michkov,53.62310269318657,38.62257168696424,,-3.0435639694204326,10,45
20242025,2024020289,978,Noah Cates,15.007360425925508,18.733609468607984,-13.27813571070385,-4.776134566598465,4,38
20242025,2024020302,485,Noah Cates,28.87422521588938,31.95168737867996,,-5.802845302174305,3,73
20242025,2024020318,922,Noah Cates,29.832796958289087,16.64719063047293,0.318658053081652,-6.407006932296483,14,59
20242025,2024020338,266,Matvei Michkov,,33.248177717500695,,0.8575601893399707,0,33
20242025,2024020338,757,Matvei Michkov,22.714599353162697,23.91975268176572,-4.682473876251635,-4.073169273761781,24,21
20242025,2024020362,151,Noah Cates,,32.694933758296415,,1.9884318488279789,0,66
20242025,2024020381,456,Noah Cates,,37.95833222030161,,-1.7659879767213198,0,1
20242025,2024020381,228,Matvei Michkov,41.97337441724122,42.15200136176443,7.251914817592528,9.048615566520644,30,28
20242025,2024020414,641,Noah Cates,23.0372256497413,25.906737851704,-3.4433873315885144,1.5217820974083551,1,59
20242025,2024020414,755,Matvei Michkov,33.6339729964248,28.29787683740852,-5.080054049876544,-8.60773246589359,13,41
20242025,2024020414,750,Matvei Michkov,42.50183717990077,36.748025892916935,14.070719247613464,-0.3594056493945174,6,43
20242025,2024020425,422,Matvei Michkov,28.392002741694903,51.619022101960574,5.611171024245973,23.78529821300738,2,37
20242025,2024020441,699,Matvei Michkov,42.00502453181593,26.832877218139306,7.495094533573003,4.5636559714096165,15,27
20242025,2024020449,278,Matvei Michkov,,39.82404051118467,,-0.9274697233112336,0,58
20242025,2024020449,817,Matvei Michkov,36.56993681211129,39.4042385420086,8.441081908048698,12.271568315657271,13,58
20242025,2024020449,157,Noah Cates,13.337323688925984,22.67095757002934,-8.350753529643786,-6.33806416589313,4,96
20242025,2024020507,680,Noah Cates,21.91148580410413,19.523259039773688,-3.96630471076216,-4.267981565879392,7,69
20242025,2024020513,318,Noah Cates,26.817654934055124,32.65229529816126,0.4841357700232365,-5.813488507906619,14,37
20242025,2024020535,878,Noah Cates,,16.72829634608312,,-4.73783393760915,0,17
20242025,2024020535,878,Matvei Michkov,32.03836087745488,,5.53111490053405,,17,0
20242025,2024020550,644,Noah Cates,,31.081641703457397,,,0,1
20242025,2024020568,542,Matvei Michkov,,67.74720065812895,,13.658635182695676,0,2
20242025,2024020568,542,Noah Cates,27.05795938072393,,1.631466651875499,,3,0
20242025,2024020585,754,Matvei Michkov,,42.20541416584212,,3.2198151887566766,0,83
20242025,2024020585,754,Noah Cates,,40.85884946507545,,3.541441848458589,0,83
20242025,2024020585,457,Matvei Michkov,29.9237653780296,38.98377276152221,3.846654930607361,5.670447571467243,21,71
20242025,2024020599,868,Noah Cates,22.385779248974075,23.8230596146939,-3.040528059282032,-3.917058097383357,12,13
20242025,2024020612,103,Noah Cates,,25.115876421475495,,5.2269191621413285,0,2
20242025,2024020635,105,Noah Cates,33.94571893262932,36.96547524399755,3.221364425554452,2.5393361803819445,15,25
20242025,2024020635,820,Noah Cates,45.50196110548451,47.3598988939979,5.574323637627963,1.4563781824318056,1,29
20242025,2024020635,820,Matvei Michkov,,46.7415189355144,,1.1900945039517763,0,39
20242025,2024020644,334,Matvei Michkov,,114.48416852363545,,,0,1
20242025,2024020675,768,Matvei Michkov,,34.308990215693456,,-13.811925702989337,0,3
20242025,2024020689,1049,Noah Cates,24.83507778538828,43.89275068308293,-3.9790039331083378,13.532650492544242,33,27
20242025,2024020698,145,Noah Cates,,28.6540119589614,,4.197839122297413,0,56
20242025,2024020712,641,Matvei Michkov,29.47092319273716,27.660558625734183,-2.700500281429853,-1.9635545158560677,14,53
20242025,2024020722,548,Matvei Michkov,,37.66737438458506,,,0,2
20242025,2024020751,543,Matvei Michkov,34.443971084069915,36.74217055977245,-4.933807446197591,-3.865906128793135,24,50
20242025,2024020864,641,Matvei Michkov,57.80013185623624,41.551800034636265,22.05876845690285,17.688466568666037,29,40
20242025,2024020854,611,Noah Cates,,38.68762247252235,,-3.2167933765829275,0,47
20242025,2024020864,384,Matvei Michkov,56.33832090081396,45.80493884912079,22.75363387391382,26.33630434959887,33,41
20242025,2024020795,248,Matvei Michkov,,28.333712586414947,,-3.933253449468822,0,114
20242025,2024020892,721,Matvei Michkov,34.049051656436085,33.077261733430106,1.9659919961607173,-5.370916292293046,29,49
20242025,2024020892,617,Matvei Michkov,22.771987220363265,20.64448462876182,-5.0093697042636975,-2.5510529268288598,15,62
20242025,2024020892,133,Matvei Michkov,43.31196564231981,49.92783562131016,7.593732555322695,6.7315020223775335,24,32
20242025,2024020892,496,Matvei Michkov,,45.044001448096445,,13.75858960178805,0,66
20242025,2024020922,154,Matvei Michkov,32.51857899892756,34.9471522158627,-4.067386695355211,-6.616707041346395,13,62
20242025,2024020922,801,Noah Cates,32.706216693049456,27.72270416531427,5.571205234360424,-7.77681925112006,13,33
20242025,2024020922,895,Matvei Michkov,29.33147615241333,41.22767387544364,3.282546585913426,11.617433510547476,28,57
20242025,2024020922,796,Noah Cates,,17.70539465356768,,-7.579848643061116,0,75
20242025,2024020922,713,Noah Cates,,27.77902521897937,,-8.47193932292398,0,82
20242025,2024020938,565,Matvei Michkov,15.890390767736964,20.15408601056356,-11.560702237924447,-1.7139434239389466,5,54
20242025,2024020938,741,Matvei Michkov,24.38345096806509,21.164524387182706,-1.942996831902981,-6.421913133925752,36,33
20242025,2024020956,654,Noah Cates,34.589657370230135,33.548800672626946,-1.539680138135061,0.5032374801201058,9,59
20242025,2024020977,204,Noah Cates,16.75066525101978,23.0554653812702,-10.61577058053657,-18.342064509647965,7,63
20242025,2024020938,126,Noah Cates,37.24516281805479,39.813226527256646,7.043680895891338,-0.0460558612296893,11,86
20242025,2024020977,963,Matvei Michkov,29.03689628025544,34.85986642092572,-0.7729014295107035,-4.882467079670292,4,18
20242025,2024021004,447,Matvei Michkov,,55.20083328062583,,,0,8
20242025,2024020991,1101,Matvei Michkov,41.41927841113671,32.38539220396969,5.748534897955594,-1.8032233652289944,46,26
20242025,2024021118,299,Noah Cates,25.16993290561829,24.10239123281684,-4.602068809235249,-11.651066522691789,26,61
20242025,2024021118,99,Matvei Michkov,20.56402759336805,37.727171793276185,-11.89706755258009,-6.063302880626864,1,22
20242025,2024021105,777,Matvei Michkov,17.507290869309685,23.474119056830084,-13.85637430740088,-5.672562568493017,1,60
20242025,2024021118,512,Matvei Michkov,14.124023638175112,25.862326741866703,-11.77116215513798,-3.1764446945518685,1,82
20242025,2024021105,840,Matvei Michkov,51.09756633578763,48.97087810931016,13.421356464129204,3.0925052476157475,6,55
20242025,2024021130,772,Matvei Michkov,,27.989724400923023,,-19.142894726172777,0,32
