season,game_id,event_id,player_id,player_name,team_abbr,position,game_state,on_puck_mean_dist_ft,on_puck_nearest_dist_ft,off_puck_mean_dist_ft,off_puck_nearest_dist_ft,rel_on_puck_mean_dist_ft,rel_off_puck_mean_dist_ft,on_puck_frames,off_puck_frames
20242025,2024020001,1730620,8475193,Tomas Tatar,NJD,L,5v5,,,27.94882582387859,14.902435143363627,,1.9161903844320207,0,39
20242025,2024020001,1730620,8480002,Nico Hischier,NJD,C,5v5,23.950493866957395,2.8364342569917134,27.425863804760034,10.09925438307305,-2.886726340352002,-1.0596539779771597,1,38
20242025,2024020001,1730620,8482110,Dawson Mercer,NJD,C,5v5,43.073848310162276,19.232963490445396,22.339375314027507,5.953506179605904,14.612001274365142,-2.413225319931648,12,27
20242025,2024020001,1730620,8474593,Jacob Markstrom,NJD,G,5v5,,,152.94898751314315,137.43692295305345,,,0,39
