,season,game_id,event_id,date,period,time,scorer_id,scorer_name,strength
16,20252026,2025020030,644,2025-10-11,2,06:18,8481553,Unknown,EV
44,20252026,2025020196,157,2025-11-02,3,14:20,8478439,Unknown,EV
