team_xgs,other_xgs,team_goals,other_goals,team_attempts,other_attempts,team_seconds,other_seconds,team_xg_per60,other_xg_per60,n_games,game_ongoing,time_remaining,player_id,game_id,team,xg_for,xg_against,goals_for,goals_against,attempts_for,attempts_against,toi_sec
0.8922866466866469,0.14131205633054672,0,0,10,5,2663.0,2663.0,1.2062455606728986,0.19103394772435905,1,False,,8471817,2025010073,SJS,0.8922866466866469,0.14131205633054672,0,0,10,5,556.0
0.37884981071560075,0.11309844620164988,0,0,11,15,2663.0,2663.0,0.5121514527135422,0.15289313042656388,1,False,,8475181,2025010073,SJS,0.37884981071560075,0.11309844620164988,0,0,11,15,940.0
1.0590773615273614,0.37301097669026123,1,3,18,9,2663.0,2663.0,1.4317230572656783,0.5042581735204433,1,False,,8475200,2025010073,SJS,1.0590773615273614,0.37301097669026123,1,3,18,9,800.0
0.5906836171997939,0.25008069173389574,0,1,11,11,2663.0,2663.0,0.7985208493876297,0.3380737852955406,1,False,,8475726,2025010073,SJS,0.5906836171997939,0.25008069173389574,0,1,11,11,698.0
0.2047476684134582,0.0015666666666666667,1,0,8,4,2663.0,2663.0,0.2767899385236386,0.0021179121291776196,1,False,,8475784,2025010073,SJS,0.2047476684134582,0.0015666666666666667,1,0,8,4,541.0
0.3590074760894426,0.029625358178561836,0,0,10,11,2663.0,2663.0,0.485327417920388,0.04004930133038776,1,False,,8475906,2025010073,SJS,0.3590074760894426,0.029625358178561836,0,0,10,11,907.0
0.21008100174679153,0.005566666666666667,0,0,8,6,2663.0,2663.0,0.28399985215488155,0.007525347352609839,1,False,,8477505,2025010073,SJS,0.21008100174679153,0.005566666666666667,0,0,8,6,761.0
0.08422535817856185,0.19797171243788916,1,1,8,9,2663.0,2663.0,0.11386079213023757,0.26762980276995907,1,False,,8477527,2025010073,ANA,0.08422535817856185,0.19797171243788916,1,1,8,9,700.0
0.09326753973603011,0.17540210900210917,1,0,4,9,2663.0,2663.0,0.12608454489286833,0.23711888562057565,1,False,,8478366,2025010073,ANA,0.09326753973603011,0.17540210900210917,1,0,4,9,623.0
0.2868047995340838,1.8060224103382003,1,0,8,12,2663.0,2663.0,0.38771959381250526,2.4414872989926857,1,False,,8478873,2025010073,ANA,0.2868047995340838,1.8060224103382003,1,0,8,12,669.0
1.211079503829504,0.14131205633054672,0,0,13,6,2663.0,2663.0,1.6372084918461187,0.19103394772435905,1,False,,8478874,2025010073,SJS,1.211079503829504,0.14131205633054672,0,0,13,6,643.0
0.5325402375402377,0.08256753973603011,0,0,11,4,2663.0,2663.0,0.7199192095925107,0.11161965567018715,1,False,,8479336,2025010073,SJS,0.5325402375402377,0.08256753973603011,0,0,11,4,680.0
0.6421449434623351,0.19324062775911816,0,0,11,8,2663.0,2663.0,0.8680892964567805,0.26123404428570235,1,False,,8479576,2025010073,SJS,0.6421449434623351,0.19324062775911816,0,0,11,8,802.0
0.22134308489628887,0.2063050457712225,1,1,9,10,2663.0,2663.0,0.2992245984328351,0.2788952928187762,1,False,,8480068,2025010073,ANA,0.22134308489628887,0.2063050457712225,1,1,9,10,608.0
0.24589411651150797,0.09937601165529554,1,2,7,8,2663.0,2663.0,0.33241412671476855,0.13434233644726395,1,False,,8480798,2025010073,SJS,0.24589411651150797,0.09937601165529554,1,2,7,8,583.0
0.050671428571428576,0.2474730092561903,1,1,5,13,2663.0,2663.0,0.06850061691969316,0.33454856677517275,1,False,,8481563,2025010073,ANA,0.050671428571428576,0.2474730092561903,1,1,5,13,780.0
0.028037728937728934,0.07367534084273213,0,0,9,9,2663.0,2663.0,0.03790305076073006,0.09959865829284102,1,False,,8481754,2025010073,ANA,0.028037728937728934,0.07367534084273213,0,0,9,9,611.0
0.029095238095238098,0.1837354423354425,1,0,3,9,2663.0,2663.0,0.03933265382758436,0.2483843756693928,1,False,,8482118,2025010073,ANA,0.029095238095238098,0.1837354423354425,1,0,3,9,680.0
2.261404905954264,0.6334531531041317,1,3,40,31,2663.0,2663.0,3.0571001357248777,0.8563392231223711,1,False,,8482137,2025010073,SJS,2.261404905954264,0.6334531531041317,1,3,40,31,2663.0
1.2602524864024862,0.4105871671664517,1,3,18,11,2663.0,2663.0,1.7036834213477094,0.5550558775062809,1,False,,8482166,2025010073,SJS,1.2602524864024862,0.4105871671664517,1,3,18,11,871.0
0.028196786749990408,1.0569131210292981,1,0,8,16,2663.0,2663.0,0.03811807446487626,1.4287973096903768,1,False,,8482178,2025010073,ANA,0.028196786749990408,1.0569131210292981,1,0,8,16,774.0
0.6334531531041317,2.261404905954264,3,1,31,40,2663.0,2663.0,0.8563392231223711,3.0571001357248777,1,False,,8482477,2025010073,ANA,0.6334531531041317,2.261404905954264,3,1,31,40,2663.0
0.6198232997394765,0.38719841845162273,0,1,14,13,2663.0,2663.0,0.8379135858288078,0.5234375915981381,1,False,,8482667,2025010073,SJS,0.6198232997394765,0.38719841845162273,0,1,14,13,821.0
0.18874629814629845,1.0562464543626313,2,1,9,15,2663.0,2663.0,0.2551583452221834,1.4278960704864712,1,False,,8482731,2025010073,ANA,0.18874629814629845,1.0562464543626313,2,1,9,15,897.0
0.16515545565545597,0.2189684818520499,0,0,10,9,2663.0,2663.0,0.22326685706332763,0.29601447039706336,1,False,,8482803,2025010073,ANA,0.16515545565545597,0.2189684818520499,0,0,10,9,717.0
0.3549771011748758,1.8143557436715336,1,0,10,13,2663.0,2663.0,0.4798789201012216,2.4527527890415026,1,False,,8483445,2025010073,ANA,0.3549771011748758,1.8143557436715336,1,0,10,13,774.0
