event,x,y,game_state,is_net_empty,period,period_time,player_id,team_id,home_id,away_id,home_abb,away_abb,home_team_defending_side,game_id,synthetic,predicted_penalty_duration_seconds,predicted_penalty_end_total_seconds,periodTime_seconds_elapsed,total_time_elapsed_seconds,distance,angle_deg,xgs,x_a,y_a
faceoff,0.0,0.0,5v5,0,1,20:00,,13,13,4,FLA,PHI,right,2025020363,,,,0,0,89.0,90.0,,0.0,0.0
shot-on-goal,31.0,39.0,5v5,0,1,19:46,8481546.0,4,13,4,FLA,PHI,right,2025020363,,,,14,14,69.8927750200262,123.91743053697034,0.0,31.0,39.0
blocked-shot,45.0,-7.0,5v5,0,1,18:39,8482126.0,4,13,4,FLA,PHI,right,2025020363,,,,81,81,44.553338819890925,80.96051719664487,0.015,45.0,-7.0
missed-shot,-27.0,23.0,5v5,0,1,18:15,8477932.0,13,13,4,FLA,PHI,right,2025020363,,,,105,105,66.12866246946176,69.64677085193117,0.01,-27.0,23.0
giveaway,-57.0,42.0,5v5,0,1,18:05,8473419.0,13,13,4,FLA,PHI,right,2025020363,,,,115,115,52.80151512977634,37.30394827798343,,-57.0,42.0
giveaway,90.0,25.0,5v5,0,1,17:54,8477989.0,4,13,4,FLA,PHI,right,2025020363,,,,126,126,25.019992006393608,182.29061004263852,,90.0,25.0
shot-on-goal,72.0,-21.0,5v5,0,1,17:45,8480015.0,4,13,4,FLA,PHI,right,2025020363,,,,135,135,27.018512172212592,38.99099404250548,0.3323511904761906,72.0,-21.0
hit,-35.0,40.0,5v5,0,1,17:31,,4,13,4,FLA,PHI,right,2025020363,,,,149,149,130.29197979921864,107.87869659584133,,-35.0,40.0
blocked-shot,54.0,14.0,5v5,0,1,17:19,8479022.0,4,13,4,FLA,PHI,right,2025020363,,,,161,161,37.69615364994153,111.80140948635182,0.005,54.0,14.0
shot-on-goal,74.0,20.0,5v5,0,1,17:18,8479022.0,4,13,4,FLA,PHI,right,2025020363,,,,162,162,25.0,143.13010235415598,0.030083333333333337,74.0,20.0
faceoff,69.0,22.0,5v5,0,1,17:16,,4,13,4,FLA,PHI,right,2025020363,,,,164,164,29.732137494637012,137.72631099390625,,69.0,22.0
hit,97.0,6.0,5v5,0,1,17:08,,4,13,4,FLA,PHI,right,2025020363,,,,172,172,10.0,233.13010235415598,,97.0,6.0
hit,67.0,40.0,5v5,0,1,17:06,,4,13,4,FLA,PHI,right,2025020363,,,,174,174,45.65084884205331,151.18920625702694,,67.0,40.0
blocked-shot,46.0,-15.0,5v5,0,1,17:00,8477948.0,4,13,4,FLA,PHI,right,2025020363,,,,180,180,45.5411901469428,70.76932762433871,0.0,46.0,-15.0
blocked-shot,77.0,-3.0,5v5,0,1,16:45,8477903.0,4,13,4,FLA,PHI,right,2025020363,,,,195,195,12.36931687685298,75.96375653207353,0.0,77.0,-3.0
hit,87.0,-33.0,5v5,0,1,16:39,,13,13,4,FLA,PHI,right,2025020363,,,,201,201,179.06702655709677,100.61965527615514,,87.0,-33.0
giveaway,83.0,35.0,5v5,0,1,16:32,8483733.0,4,13,4,FLA,PHI,right,2025020363,,,,208,208,35.510561809129406,170.2724214485984,,83.0,35.0
giveaway,99.0,1.0,5v5,0,1,16:17,8475683.0,13,13,4,FLA,PHI,right,2025020363,,,,223,223,188.0026595556563,89.69523808957892,,99.0,1.0
shot-on-goal,46.0,14.0,5v5,0,1,16:13,8480220.0,4,13,4,FLA,PHI,right,2025020363,,,,227,227,45.221676218380054,108.03428556712987,0.0025,46.0,14.0
missed-shot,53.0,33.0,5v5,0,1,16:08,8482126.0,4,13,4,FLA,PHI,right,2025020363,,,,232,232,48.83646178829912,132.51044707800085,0.0,53.0,33.0
shot-on-goal,-71.0,10.0,5v5,0,1,15:27,8477409.0,13,13,4,FLA,PHI,right,2025020363,,,,273,273,20.591260281974,60.94539590092286,0.002,-71.0,10.0
shot-on-goal,-84.0,8.0,5v5,0,1,15:26,8477409.0,13,13,4,FLA,PHI,right,2025020363,,,,274,274,9.433981132056603,32.005383208083494,0.1631089211356238,-84.0,8.0
shot-on-goal,-80.0,11.0,5v5,0,1,15:24,8478421.0,13,13,4,FLA,PHI,right,2025020363,,,,276,276,14.212670403551895,39.28940686250036,0.01890966386554622,-80.0,11.0
shot-on-goal,-55.0,-29.0,5v5,0,1,15:21,8484304.0,13,13,4,FLA,PHI,right,2025020363,,,,279,279,44.68780594300866,130.46222749209338,0.005,-55.0,-29.0
missed-shot,-80.0,1.0,5v5,0,1,15:16,8478421.0,13,13,4,FLA,PHI,right,2025020363,,,,284,284,9.055385138137417,83.6598082540901,0.0,-80.0,1.0
shot-on-goal,-83.0,-21.0,5v5,0,1,15:08,8477935.0,13,13,4,FLA,PHI,right,2025020363,,,,292,292,21.840329667841555,164.05460409907712,0.0016666666666666666,-83.0,-21.0
giveaway,-88.0,-7.0,5v5,0,1,15:02,8477935.0,13,13,4,FLA,PHI,right,2025020363,,,,298,298,7.0710678118654755,171.86989764584402,,-88.0,-7.0
hit,74.0,40.0,5v5,0,1,14:51,,13,13,4,FLA,PHI,right,2025020363,,,,309,309,167.83622970026465,76.21214708367323,,74.0,40.0
blocked-shot,65.0,10.0,5v5,0,1,14:50,8476372.0,4,13,4,FLA,PHI,right,2025020363,,,,310,310,26.0,112.61986494804043,0.0003125,65.0,10.0
