event,x,y,game_state,is_net_empty,period,period_time,player_id,team_id,home_id,away_id,home_abb,away_abb,home_team_defending_side,game_id,synthetic,predicted_penalty_duration_seconds,predicted_penalty_end_total_seconds,periodTime_seconds_elapsed,total_time_elapsed_seconds,distance,angle_deg,xgs,x_a,y_a
faceoff,0.0,0.0,5v5,0,1,20:00,,4,2,4,NYI,PHI,left,2025020381,,,,0,0,89.0,90.0,,-0.0,-0.0
shot-on-goal,68.0,7.0,5v5,0,1,19:41,8477494.0,2,2,4,NYI,PHI,left,2025020381,,,,19,19,22.135943621178654,108.43494882292202,0.04212547718497242,-68.0,-7.0
blocked-shot,41.0,32.0,5v5,0,1,19:36,8476917.0,2,2,4,NYI,PHI,left,2025020381,,,,24,24,57.688820407423826,123.69006752597979,0.010217877988464196,-41.0,-32.0
faceoff,69.0,22.0,5v5,0,1,19:33,,2,2,4,NYI,PHI,left,2025020381,,,,27,27,29.732137494637012,137.72631099390625,,-69.0,-22.0
blocked-shot,41.0,-21.0,5v5,0,1,19:17,8477506.0,2,2,4,NYI,PHI,left,2025020381,,,,43,43,52.392747589718944,66.37062226934319,0.01610520917053575,-41.0,21.0
hit,40.0,40.0,5v5,0,1,18:40,,4,2,4,NYI,PHI,left,2025020381,,,,80,80,135.05924625881784,72.77251177354904,,-40.0,-40.0
shot-on-goal,-44.0,-31.0,5v5,0,1,18:23,8476372.0,4,2,4,NYI,PHI,left,2025020381,,,,97,97,54.644304369257,124.56252464888182,0.004783203858639537,44.0,31.0
faceoff,-69.0,-22.0,5v5,0,1,18:22,,2,2,4,NYI,PHI,left,2025020381,,,,98,98,159.52429282087414,82.0730733173104,,69.0,22.0
hit,-49.0,-40.0,5v5,0,1,18:02,,2,2,4,NYI,PHI,left,2025020381,,,,118,118,143.68020044529447,73.83550084774309,,49.0,40.0
blocked-shot,-81.0,8.0,5v5,0,1,17:35,8477948.0,4,2,4,NYI,PHI,left,2025020381,,,,145,145,11.313708498984761,45.0,0.08050754930692268,81.0,-8.0
hit,75.0,-33.0,5v5,0,1,16:44,,4,2,4,NYI,PHI,left,2025020381,,,,196,196,167.28717822953436,101.37710217304094,,-75.0,33.0
giveaway,-83.0,32.0,5v5,0,1,16:35,8476917.0,2,2,4,NYI,PHI,left,2025020381,,,,205,205,174.9514218290323,100.53918372862823,,83.0,-32.0
hit,95.0,-24.0,5v5,0,1,16:09,,2,2,4,NYI,PHI,left,2025020381,,,,231,231,24.73863375370596,345.96375653207355,,-95.0,24.0
giveaway,14.0,27.0,5v5,0,1,15:52,8480220.0,4,2,4,NYI,PHI,left,2025020381,,,,248,248,106.48004507887852,75.31121322668162,,-14.0,-27.0
penalty,-22.0,30.0,5v5,0,1,15:45,,4,2,4,NYI,PHI,left,2025020381,,,,255,255,73.40980860893181,65.87901688055742,,22.0,-30.0
faceoff,69.0,22.0,5v4,0,1,15:45,,2,2,4,NYI,PHI,left,2025020381,,,,255,255,29.732137494637012,137.72631099390625,,-69.0,-22.0
blocked-shot,77.0,2.0,5v4,0,1,15:34,8477500.0,2,2,4,NYI,PHI,left,2025020381,,,,266,266,12.165525060596439,99.46232220802563,0.09150740601320388,-77.0,-2.0
blocked-shot,74.0,1.0,5v4,0,1,15:24,8485366.0,2,2,4,NYI,PHI,left,2025020381,,,,276,276,15.033296378372908,93.81407483429037,0.08180485406509719,-74.0,-1.0
missed-shot,80.0,1.0,5v4,0,1,15:18,8475151.0,2,2,4,NYI,PHI,left,2025020381,,,,282,282,9.055385138137417,96.3401917459099,0.1671881212363478,-80.0,-1.0
hit,88.0,35.0,4v5,0,1,14:39,,4,2,4,NYI,PHI,left,2025020381,,,,321,321,180.42727066604982,78.81462337218704,,-88.0,-35.0
missed-shot,53.0,-23.0,5v4,0,1,14:29,8477500.0,2,2,4,NYI,PHI,left,2025020381,,,,331,331,42.720018726587654,57.425942865427494,0.01283346447309193,-53.0,23.0
hit,36.0,41.0,4v5,0,1,13:48,,4,2,4,NYI,PHI,left,2025020381,,,,372,372,131.55227098001768,71.84050953321324,,-36.0,-41.0
hit,96.0,-24.0,5v5,0,1,13:22,,2,2,4,NYI,PHI,left,2025020381,,,,398,398,25.0,343.73979529168804,,-96.0,24.0
shot-on-goal,62.0,38.0,5v5,0,1,13:14,8481237.0,2,2,4,NYI,PHI,left,2025020381,,,,406,406,46.61544808322666,144.60520415501296,0.01585056246836809,-62.0,-38.0
hit,-64.0,-40.0,5v5,0,1,12:39,,4,2,4,NYI,PHI,left,2025020381,,,,441,441,47.16990566028302,147.9946167919165,,64.0,40.0
shot-on-goal,68.0,9.0,5v5,0,1,12:34,8485702.0,2,2,4,NYI,PHI,left,2025020381,,,,446,446,22.847319317591726,113.19859051364818,0.049704845359194054,-68.0,-9.0
