player_id,name,team,xg_for,xg_against,toi_sec,xg_for_60,xg_against_60,rel_off_60,rel_def_60,map_path,games_played
8482947,Zakhar Bardakov #93,COL,5.341439176894871,6.1737909963358,7333.0,2.622280245032256,3.0309078940145753,,,,18
8482953,Taylor Makar #16,COL,0.9263039585234444,0.9682218117049658,1042.0,3.2002823902921302,3.345104147925026,,,,3
8484497,Maros Jedlicka #55,COL,0.04793450308948615,0.5430946223031193,238.0,0.7250597105972696,8.214876639879117,,,,1
8482072,Jack Ahcan #15,COL,4.508611964890444,3.30644633598624,4966.0,3.268425910915344,2.3969405577024694,,,,8
8476312,Josh Manson #42,COL,17.921614517111667,16.226874796475872,22333.0,2.8889003833610354,2.615714380840601,,,,25
8478109,Victor Olofsson #95,COL,13.026377760861159,10.187045661456883,15609.0,3.0043538944903694,2.3495012096383356,,,,26
8475809,Scott Wedgewood #41,COL,15.676163205268042,13.043456531880679,17512.0,3.222600933015358,2.681386678550162,,,,6
8484258,Sam Malinski #70,COL,20.831653266754678,13.826581828230275,21756.0,3.447046872601436,2.2879065352835535,,,,26
8477476,Artturi Lehkonen #62,COL,21.52182115069674,17.866033355338864,21566.0,3.592625250046753,2.982366691979037,,,,25
8479525,Ross Colton #20,COL,15.928130717067521,11.329244697834065,17111.0,3.3511349764153513,2.383570855718698,,,,24
8479398,Samuel Girard #49,COL,6.939660753868523,5.988207156282504,8796.0,2.840243146194484,2.4508351253543674,,,,10
8480039,Martin Necas #88,COL,23.422223426907138,17.27550668586092,23064.0,3.655914166530771,2.696489076877355,,,,25
8476455,Gabriel Landeskog #92,COL,16.996147068020775,11.63291034873622,18438.0,3.318479739932465,2.2713134426429322,,,,25
8482470,Ilya Solovyov #28,COL,5.007878875725222,3.4493065401947596,6021.0,2.994247459327487,2.06236564436159,,,,9
8477492,Nathan MacKinnon #29,COL,24.935638465625797,16.99926677743283,22792.0,3.9385880342336286,2.685036872532388,,,,25
8484149,Gavin Brindley #54,COL,6.392245009912023,6.180540516698279,8605.0,2.674268685146227,2.5856996932148526,,,,18
8477501,Valeri Nichushkin #13,COL,12.651958187327654,8.609474575927592,13234.0,3.441669145714036,2.342006080802428,,,,18
8480448,Parker Kelly #17,COL,10.518356584699152,9.737092334162174,13014.0,2.9096422087687834,2.693524850390643,,,,24
8480835,Jack Drury #18,COL,14.000055115665674,10.224707596027573,17000.0,2.9647175539056723,2.165232196805839,,,,24
8480069,Cale Makar #8,COL,24.27202420715146,19.939493765860206,25845.0,3.3808971617622467,2.777410623219065,,,,25
8477126,Jayson Megna #12,COL,0.03234931938569363,0.5430946223031193,240.0,0.48523979078540447,8.14641933454679,,,,1
8482507,Chase Bradley #38,COL,0.07704585956249747,0.20672291823957925,180.0,1.5409171912499495,4.134458364791585,,,,1
8470613,Brent Burns #84,COL,19.360136655096408,16.795487281328388,23326.0,2.987931576710412,2.59211841776482,,,,25
8478038,Devon Toews #7,COL,26.078124470367833,19.7482108156308,26514.0,3.5408179864722102,2.681359241769287,,,,24
8483930,Ivan Ivan #82,COL,0.282352716489946,0.05402013486230373,509.0,1.9969936726204431,0.38206775148191247,,,,1
8483039,Tristen Nielsen #57,COL,0.5995768171219558,0.633886582154161,1395.0,1.5472950119276276,1.6358363410429961,,,,4
8476391,T.J. Tynan #9,COL,0.030668743187049898,0.15010963200367977,167.0,0.6611226076250277,3.2358962587619593,,,,1
8481641,Joel Kiviranta #94,COL,2.37406796560745,2.4686352382249845,3747.0,2.280929990975933,2.3717872585027875,,,,7
8475754,Brock Nelson #11,COL,17.006606559355962,13.70430996352482,19075.0,3.2096347897080717,2.586396637939153,,,,25
8483569,Wyatt Aamodt #5,COL,0.06479530666420408,0.5142506307518955,151.0,1.5447887681532098,12.260279938455785,,,,1
8482676,Sean Behrens #2,COL,0.01558518370379252,0.6566061475620576,157.0,0.3573672696411024,15.055937141550364,,,,1
8482942,Alex Gagne #45,COL,0.049210122960411565,0.4664457850521228,370.0,0.478801196371572,4.538391422128763,,,,1
