team_xgs,other_xgs,team_goals,other_goals,team_attempts,other_attempts,team_seconds,other_seconds,team_xg_per60,other_xg_per60,n_games,game_ongoing,time_remaining,team
57.76105990152253,63.7255476519618,62,58,1330,1295,79954.0,79954.0,2.6007431228641607,2.86929949154592,29,False,,ANA
50.793682250894925,62.05520471275079,53,56,1263,1393,83586.0,83586.0,2.187654105989301,2.672681273968163,31,False,,BOS
55.76025667788641,50.81083571039936,60,65,1219,1235,78743.0,78743.0,2.5492669067776323,2.322987548828946,29,False,,BUF
67.67170478554797,43.42936801705042,60,46,1442,941,75714.0,75714.0,3.2176101807852273,2.064951328174202,27,False,,CAR
57.05611819488364,56.719728264195034,53,58,1283,1237,79537.0,79537.0,2.5824713718342545,2.5672457064146514,28,False,,CBJ
53.33729610238555,54.91011042488468,50,56,1307,1155,78146.0,78146.0,2.4571221299693904,2.5295779378289973,31,False,,CGY
47.529460154285104,57.96453448345406,58,59,1090,1246,79363.0,79363.0,2.155992799609722,2.6293401728820056,29,False,,CHI
68.65456471201475,51.46436409047845,72,42,1429,1179,77386.0,77386.0,3.193813260321674,2.394124398802399,29,False,,COL
45.509623215244105,51.23074180029476,56,43,922,1130,74928.0,74928.0,2.186561012904105,2.461438587458108,28,False,,DAL
59.019366483483864,58.79254193052576,50,66,1379,1218,82064.0,82064.0,2.589073398086151,2.5791230131347818,30,False,,DET
55.494419520827336,59.61853940560819,55,66,1294,1263,87127.0,87127.0,2.2929735934323277,2.4633780786689483,30,False,,EDM
56.526169021879014,45.9497619310097,47,51,1180,1062,72211.0,72211.0,2.818049999013508,2.290774853576808,28,False,,FLA
55.97595253986044,49.67313780616943,45,47,1322,1175,82367.0,82367.0,2.446531124643335,2.1710551082619247,29,False,,LAK
53.86367453730895,65.80862898851589,43,48,1213,1417,83361.0,83361.0,2.3261384620423486,2.8419892318789026,29,False,,MIN
46.55498241718355,49.44112473717957,52,59,979,1109,71666.0,71666.0,2.3385976153526187,2.4835772758887957,27,False,,MTL
55.80418891011617,56.3919689890146,50,58,1230,1215,80174.0,80174.0,2.5057385196749347,2.5321312191041057,28,False,,NJD
52.82041658117908,54.200601145573486,43,57,1140,1004,73068.0,73068.0,2.6024182910746796,2.670418844419781,28,False,,NSH
50.33114983456659,61.09903178169066,55,52,1214,1254,82918.0,82918.0,2.185196693172046,2.652699225910977,29,False,,NYI
59.99421096198989,56.7127384664479,48,46,1378,1339,89797.0,89797.0,2.4051934860091495,2.273637855153429,31,False,,NYR
59.173618645109556,51.06995633175857,61,64,1258,1151,84158.0,84158.0,2.5312510649301836,2.1846032794782535,29,False,,OTT
48.98508184264455,52.18967846917775,53,52,1027,1115,79050.0,79050.0,2.2308196664581956,2.3767595507784933,28,False,,PHI
57.17936035823456,56.864817413512384,50,52,1190,1236,79552.0,79552.0,2.5875615608613787,2.573327417144064,28,False,,PIT
41.03947432402518,48.13066963209529,37,38,973,1134,71641.0,71641.0,2.062256355529524,2.418592854308888,26,False,,SEA
51.311862573718024,61.810288115562805,52,66,1029,1342,81739.0,81739.0,2.259909042995203,2.7222872461863505,31,False,,SJS
57.13358014697344,55.97934413182577,60,64,1217,1290,87301.0,87301.0,2.3559969362218576,2.3084001199822772,30,False,,STL
58.32283780252767,51.02078764567023,57,45,1131,1093,75126.0,75126.0,2.7948009489271306,2.444890391135064,29,False,,TBL
48.37756245350909,60.39674464030507,69,65,1078,1350,79167.0,79167.0,2.199896735162792,2.7464509291131187,29,False,,TOR
63.02191304016036,55.7010805168016,67,61,1284,1140,85630.0,85630.0,2.649525714639464,2.3417481006713277,30,False,,UTA
46.57170702851238,53.36052174656155,49,54,1025,1231,74170.0,74170.0,2.26045766890447,2.589967349165722,29,False,,VAN
54.93166686754037,48.99499064870488,52,51,1283,1163,78957.0,78957.0,2.5045784505888693,2.233899037898319,28,False,,VGK
45.328689618794805,49.704590010244445,51,53,1024,1167,72602.0,72602.0,2.2476416989567958,2.464622517794,27,False,,WPG
65.66038318293928,52.27405504832425,67,39,1356,1210,82741.0,82741.0,2.8568349362296974,2.27440565347249,30,False,,WSH
1747.4960346877492,1747.4960346877492,1737,1737,38489,38489,2543944.0,2543944.0,2.472926182681654,2.472926182681654,924,,,League
